date,scheme,returnOnInvestedCapital,returnOnEquity,freeCashFlowYield,revenueGrowth,epsgrowth,_has_history
2018-01-31,t2,0.15570183230364398,0.15384966923629345,0.2745715827264266,0.2769081783630625,0.1389687373705735,True
2018-04-30,t2,0.15678567771781743,0.15232625952016626,0.2795218222890794,0.26353068970066296,0.14783555077227395,True
2018-07-31,t2,0.17338673230909535,0.1802600539387555,0.15542158944638973,0.3277824057164428,0.1631492185893167,True
2018-10-31,t2,0.18483392375686153,0.20134599486952398,0.1383597733529494,0.3156728524295314,0.15978745559113375,True
2019-01-31,t2,0.26242677949675663,0.33207169517520696,0.10899857816800858,0.18323730197429808,0.11326564518572979,True
2019-04-30,t2,0.2720024335276458,0.30650224123085457,0.10053084727064884,0.21610346954742982,0.10486100842342096,True
2019-07-31,t2,0.33609228183429884,0.35177156734594006,0.10317120516730238,0.10896494565245873,0.1,True
2019-10-31,t2,0.24746495700322813,0.37555719937930876,0.10285592403391426,0.14709641739925672,0.12702550218429223,True
2020-01-31,t2,0.2836289423429501,0.3598408053661535,0.10050356533861364,0.1421665960103719,0.11386009094191092,True
2020-04-30,t2,0.2695809200714665,0.34730724143562086,0.1,0.16747668451228764,0.11563515398062503,True
2020-07-31,t2,0.2681784875462059,0.33925938872768446,0.1,0.1727001777911943,0.11986194593491531,True
2020-10-31,t2,0.30765227103098247,0.3503544920297028,0.1,0.1367843980905816,0.10520883884873332,True
2021-01-31,t2,0.2581078556164468,0.2714605895659379,0.1,0.1846204639411056,0.18581109087650974,True
2021-04-30,t2,0.20665214583127162,0.2334614193060695,0.1,0.1957952320541229,0.26409120280853604,True
2021-07-31,t2,0.2412515670148471,0.22267097267300806,0.13439962234187994,0.14194153626284453,0.2597363017074204,True
2021-10-31,t2,0.24483021578263514,0.17859364219196572,0.17433192394573116,0.165572173373719,0.23667204470594905,True
2022-01-31,t2,0.2418211540701436,0.21436010029395502,0.13648884830398506,0.18632238735222403,0.22100750997969232,True
2022-04-30,t2,0.11981215177551657,0.12632734109809637,0.23493822536080328,0.24769109678633622,0.27123118497924753,True
2022-07-31,t2,0.1234054901148372,0.12390994351527455,0.23024306323724486,0.2363607616439234,0.28608074148872004,True
2022-10-31,t2,0.1435281204327484,0.13599291344018685,0.1935775007705855,0.26404217704231203,0.26285928831416716,True
2023-01-31,t2,0.13524397003105787,0.11852353673579094,0.2254419219749667,0.25058786781004505,0.27020270344813946,True
2023-04-30,t2,0.12554927212028819,0.10303157437486823,0.3411628460023681,0.17977485525661085,0.2504814522458647,True
2023-07-31,t2,0.11733732953226145,0.1,0.39992149993445647,0.13977997128251038,0.24296119925077167,True
2023-10-31,t2,0.10430782149981717,0.1,0.458381422151264,0.118602384925581,0.21870837142333788,True
2024-01-31,t2,0.17369447571432955,0.13377276646054242,0.43435278966270197,0.12213994731987786,0.13604002084254835,True
2024-04-30,t2,0.23642142275701283,0.2443259830601235,0.2631094163342991,0.12441952578612782,0.13172365206243672,True
2024-07-31,t2,0.2056103395633757,0.26461164670221493,0.2616019717527157,0.12258474347714574,0.14559129850454788,True
2024-10-31,t2,0.17059434465817966,0.26015428136820096,0.22492268844155727,0.1630917935616502,0.18123689197041193,True
2025-01-31,t2,0.11640790564684864,0.24793511031942153,0.2992648954464471,0.16003229814070052,0.1763597904465823,True
2025-04-30,t2,0.22534993899751135,0.34782652683858506,0.20123165427997808,0.1044583794706992,0.12113350041322642,True
2025-07-31,t2,0.2522324782340254,0.4217238878126205,0.11951637000818427,0.10443441618105796,0.10209284776411191,True
2025-10-31,t2,0.22768358950535403,0.47113821416511203,0.10117819632953404,0.1,0.1,True
